code,team,team_gender,country,country_full,country_code,discipline,disciplines_code,events,athletes,coaches,athletes_codes,num_athletes,coaches_codes,num_coaches
ROWMNOCOX4--GBR01,Great Britain,M,Great Britain,Great Britain,GBR,Rowing,ROW,Men's Four,"['WILKES Oliver', 'AMBLER David', 'ALDRIDGE Matt', 'DAVIDSON Freddie']",,"['1901100', '1901026', '1901025', '1901050']",4.0,,
ROWMNOCOX4--ITA01,Italy,M,Italy,Italy,ITA,Rowing,ROW,Men's Four,"['LODO Matteo', 'ABAGNALE Giovanni', 'VICINO Giuseppe', 'KOHL Nicholas']",,"['1547906', '1547899', '1547875', '1560793']",4.0,,
ROWMNOCOX4--NED01,Netherlands,M,Netherlands,Netherlands,NED,Rowing,ROW,Men's Four,"['MOLLEE Guus', 'RITSEMA Nelson', 'BROUWER Eli', 'RIENKS Rik']",,"['1965591', '1965595', '1965585', '1965594']",4.0,,
ROWMNOCOX4--NZL01,New Zealand,M,New Zealand,New Zealand,NZL,Rowing,ROW,Men's Four,"['MACLEAN Ollie', 'ULLRICH Logan', 'MURRAY Tom', 'MACDONALD Matt']",,"['1927001', '1927020', '1927019', '1926991']",4.0,,
ROWMNOCOX4--ROU01,Romania,M,Romania,Romania,ROU,Rowing,ROW,Men's Four,"['BERARIU Stefan Constantin', 'BEJAN Sergiu Vasile', 'MANDRILA Andrei', 'TUDOSA Ciprian']",,"['1551180', '1551178', '1552040', '1552080']",4.0,,
ROWMNOCOX4--SUI01,Switzerland,M,Switzerland,Switzerland,SUI,Rowing,ROW,Men's Four,"['SCHUERCH Joel', 'ROTH Tim', 'BRUNNER Patrick', 'SCHAETZLE Kai']",,"['1977854', '1977808', '1976466', '1977842']",4.0,,
ROWMNOCOX4--USA01,United States of America,M,United States,United States of America,USA,Rowing,ROW,Men's Four,"['MEAD Nick', 'BEST Justin', 'GRADY Michael', 'CORRIGAN Liam']",,"['1944727', '1944631', '1944681', '1944652']",4.0,,
ROWMSCULL2--CHN01,People's Republic of China,M,China,People's Republic of China,CHN,Rowing,ROW,Men's Double Sculls,"['LIU Zhiyu', 'SULITAN Adilijiang']",,"['1918417', '1918429']",2.0,,
ROWMSCULL2--CRO01,Croatia,M,Croatia,Croatia,CRO,Rowing,ROW,Men's Double Sculls,"['LONCARIC Patrik', 'LONCARIC Anton']",,"['1916682', '1916681']",2.0,,
ROWMSCULL2--ESP01,Spain,M,Spain,Spain,ESP,Rowing,ROW,Men's Double Sculls,"['GARCIA I PUJOLAR Aleix', 'CONDE ROMERO Rodrigo']",,"['1879807', '1879791']",2.0,,
ROWMSCULL2--FRA01,France,M,France,France,FRA,Rowing,ROW,Men's Double Sculls,"['BOUCHERON Hugo', 'ANDRODIAS Matthieu']",,"['1558311', '1558307']",2.0,,
ROWMSCULL2--GER01,Germany,M,Germany,Germany,GER,Rowing,ROW,Men's Double Sculls,"['GELSEN Jonas', 'WEBER Marc']",,"['1906539', '1906512']",2.0,,
ROWMSCULL2--IRL01,Ireland,M,Ireland,Ireland,IRL,Rowing,ROW,Men's Double Sculls,"['LYNCH Daire', 'DOYLE Philip']",,"['1544454', '1543317']",2.0,,
ROWMSCULL2--ITA01,Italy,M,Italy,Italy,ITA,Rowing,ROW,Men's Double Sculls,"[""CARUCCI Nicolo'"", 'SARTORI Matteo']",,"['1560780', '1547910']",2.0,,
ROWMSCULL2-LARG01,Argentina,M,Argentina,Argentina,ARG,Rowing,ROW,Lightweight Men's Double Sculls,"['COLOMINO Alejandro', 'DICKSON Pedro']",,"['1892874', '1892944']",2.0,,
ROWMSCULL2-LBEL01,Belgium,M,Belgium,Belgium,BEL,Rowing,ROW,Lightweight Men's Double Sculls,"['van ZANDWEGHE Niels', 'VYVEY Tibo']",,"['1915396', '1903260']",2.0,,
ROWMSCULL2-LCHI01,Chile,M,Chile,Chile,CHI,Rowing,ROW,Lightweight Men's Double Sculls,"['SANHUEZA Eber', 'ABAROA Cesar']",,"['1935337', '1935335']",2.0,,
