start_date,end_date,day,status,discipline,discipline_code,event,event_medal,phase,gender,event_type,venue,venue_code,location_description,location_code,url
2024-08-04T12:30:00+02:00,2024-08-04T14:15:00+02:00,2024-08-04,SCHEDULED,Hockey,HOC,Men,0,Men's Quarter-finals,M,HTEAM,Yves-du-Manoir Stadium,YDM,Yves-du-Manoir Stadium - Pitch 1,HO1,/en/paris-2024/results/hockey/men/qfnl000200--
2024-08-04T12:33:00+02:00,2024-08-04T12:50:00+02:00,2024-08-04,SCHEDULED,Sailing,SAL,Women's Kite,0,Women's Kite Opening Series,W,TEAM,Marseille Marina,MAM,Marseille Marina - Marseille,SA1,/en/paris-2024/results/sailing/women-s-kite/prel000100--
2024-08-04T12:35:00+02:00,2024-08-04T13:08:00+02:00,2024-08-04,SCHEDULED,Athletics,ATH,Women's 400m Hurdles,0,Women's 400m Hurdles Round 1,W,ATH,Stade de France,STA,Stade de France - Track,A01,/en/paris-2024/results/athletics/women-s-400m-hurdles/rnd1--------
2024-08-04T12:36:00+02:00,2024-08-04T12:47:00+02:00,2024-08-04,SCHEDULED,Boxing,BOX,Men's 63.5kg,3,Men's 63.5kg - Semifinals,M,HATH,North Paris Arena,NPA,North Paris Arena,NPA,/en/paris-2024/results/boxing/men-s-63-5kg/sfnl000100--
2024-08-04T12:52:00+02:00,2024-08-04T13:03:00+02:00,2024-08-04,SCHEDULED,Boxing,BOX,Men's 80kg,3,Men's 80kg - Semifinals,M,HATH,North Paris Arena,NPA,North Paris Arena,NPA,/en/paris-2024/results/boxing/men-s-80kg/sfnl000100--
2024-08-04T12:53:00+02:00,2024-08-04T13:10:00+02:00,2024-08-04,SCHEDULED,Sailing,SAL,Men's Kite,0,Men's Kite Opening Series,M,ATH,Marseille Marina,MAM,Marseille Marina - Marseille,SA1,/en/paris-2024/results/sailing/men-s-kite/prel000200--
2024-08-04T12:57:00+02:00,2024-08-04T13:32:00+02:00,2024-08-04,SCHEDULED,Sailing,SAL,Mixed Multihull,0,Mixed Multihull Opening Series,X,TEAM,Marseille Marina,MAM,Marseille Marina - Frioul,SA3,/en/paris-2024/results/sailing/mixed-multihull/prel000500--
2024-08-04T13:00:00+02:00,2024-08-04T13:13:00+02:00,2024-08-04,SCHEDULED,Archery,ARC,Men's Individual,0,Men's Individual Quarterfinals,M,HATH,Invalides,INV,Invalides,INV,/en/paris-2024/results/archery/men-s-individual/qfnl000200--
2024-08-04T13:00:00+02:00,2024-08-04T13:50:00+02:00,2024-08-04,SCHEDULED,Beach Volleyball,VBV,Beach Volleyball,0,Beach Volleyball Session Schedules,-,NONE,Eiffel Tower Stadium,EIF,Eiffel Tower Stadium - Centre Court,BV0,
2024-08-04T13:00:00+02:00,2024-08-04T13:50:00+02:00,2024-08-04,SCHEDULED,Beach Volleyball,VBV,Women,0,Women's Round of 16,W,HTEAM,Eiffel Tower Stadium,EIF,Eiffel Tower Stadium - Centre Court,BV0,/en/paris-2024/results/beach-volleyball/women/8fnl000300--
